gene_id,gene_symbol,GSM9181254,GSM9181255,GSM9181256,GSM9181257,GSM9181258,GSM9181259,GSM9181260,GSM9181261,GSM9181262,GSM9181263,GSM9181264,GSM9181265,GSM9181266,GSM9181267,GSM9181268,GSM9181269,GSM9181270,GSM9181271
ENSG00000196656,AC004057.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196659,TTC30B,284.758,246.419,129.083,254.324,301.431,248.343,137.471,124.41,158.774,141.795,100.304,118.341,100.136,227.193,241.902,285.815,183.238,288.066
ENSG00000196660,SLC30A10,12.0,12.0,26.999,12.0,10.0,45.0,11.0,7.0,6.0,3.0,5.0,5.0,35.0,25.0,20.0,19.022,8.0,33.0
ENSG00000196663,TECPR2,976.835,1113.555,724.841,1026.907,1537.698,1526.074,679.005,521.47,1241.74,869.106,979.915,951.059,791.468,1704.616,1677.517,1614.615,991.297,2067.085
ENSG00000196664,TLR7,11.172,13.77,7.503,7.644,26.123,14.272,21.867,12.89,34.288,21.392,9.311,15.727,16.851,21.462,26.631,19.641,12.853,42.521
ENSG00000196666,FAM180B,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0
ENSG00000196668,LINC00173,26.0,18.0,26.0,19.0,57.0,37.0,7.0,16.011,8.0,11.0,9.0,9.0,25.0,35.0,82.0,14.0,16.0,24.0
ENSG00000196670,ZFP62,313.999,336.002,203.001,348.01,417.001,421.999,190.0,134.077,343.001,305.999,333.999,258.028,191.409,388.999,433.132,516.0,311.0,660.991
ENSG00000196678,ERI2,396.725,389.285,310.947,358.546,527.587,768.745,305.657,239.424,439.505,440.495,459.805,424.843,385.216,720.812,781.737,919.666,570.882,1334.748
ENSG00000196683,TOMM7,1542.613,1694.714,1173.931,1543.095,2088.666,2935.624,668.0,355.483,1075.424,1272.377,955.497,1177.902,704.578,1792.96,1449.41,1698.831,1075.414,2039.967
ENSG00000196684,HSH2D,1.0,3.0,0.0,2.0,2.01,1.028,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,10.0,1.0,3.0,8.288
ENSG00000196689,TRPV1,278.628,340.917,214.542,312.327,434.853,389.777,192.821,180.907,332.407,282.898,206.927,271.783,202.289,398.535,385.655,415.997,266.322,688.045
ENSG00000196693,ZNF33B,809.238,820.867,503.331,801.683,1100.889,1219.896,451.78,370.881,561.999,511.371,500.582,542.87,452.997,951.542,898.002,1126.685,658.469,1443.73
ENSG00000196696,AC009022.1,222.109,326.46,156.847,236.206,362.527,346.141,240.592,186.904,463.827,348.547,359.36,354.275,237.109,416.233,391.026,457.976,294.907,843.293
ENSG00000196700,ZNF512B,2269.751,2856.941,2043.392,2332.948,3425.237,4270.678,2110.778,1332.819,2773.52,2325.571,2038.3,2142.518,2622.12,4908.718,4575.426,4351.275,2849.268,5937.572
ENSG00000196704,AMZ2,1631.708,1697.131,1150.046,1596.999,2446.074,2896.303,1059.919,709.876,1503.331,1239.301,1171.624,1263.305,1264.902,2747.535,2357.875,2834.16,1791.54,3195.996
ENSG00000196705,ZNF431,1100.759,1160.92,1082.878,975.893,1454.415,2039.055,1013.306,785.279,2110.311,1368.841,1276.463,1344.758,1540.529,3145.96,2748.463,2133.912,1374.343,3406.215
ENSG00000196711,ALKAL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
ENSG00000196712,NF1,2066.821,2274.63,2308.272,2250.43,3428.461,4565.256,2348.13,1312.528,3086.296,2265.332,2262.715,2218.183,2387.475,5052.849,4232.287,3654.701,2359.346,4704.283
ENSG00000196715,VKORC1L1,145.912,60.363,80.853,117.295,223.175,202.087,121.52,93.497,308.224,163.263,166.501,182.261,210.727,412.182,326.602,337.401,211.271,344.196
ENSG00000196724,ZNF418,196.223,211.925,139.443,173.01,282.16,261.0,136.0,100.105,176.011,199.001,151.581,177.0,150.002,298.942,317.416,362.452,268.04,504.023
ENSG00000196730,DAPK1,1615.611,1776.487,1419.991,1431.0,2136.543,2985.173,1193.0,834.048,2110.666,1626.005,1520.194,1608.213,2035.003,4045.278,2712.498,1939.815,1129.628,2453.004
ENSG00000196734,LCE1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196735,HLA-DQA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196739,COL27A1,245.028,321.103,147.0,246.068,405.227,388.019,128.439,135.207,148.19,561.978,449.88,557.0,142.0,278.0,307.441,335.423,195.548,434.977
ENSG00000196741,LINC01560,45.0,61.0,32.0,70.0,90.0,61.0,28.0,30.0,25.0,39.0,31.0,52.0,19.0,30.0,48.0,76.0,40.0,93.0
ENSG00000196743,GM2A,2128.851,2235.614,1897.334,2473.851,3491.263,3028.368,1768.586,1236.522,2286.573,2115.094,1838.497,1944.433,1020.904,2156.497,2256.792,2765.821,1791.261,2715.553
ENSG00000196747,HIST1H2AI,2.0,13.0,7.0,4.0,11.0,11.0,4.0,1.0,2.0,0.0,5.0,6.0,7.79,4.0,20.0,14.0,9.0,9.0
ENSG00000196748,CLPSL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000196754,S100A2,16.0,25.464,17.0,18.0,40.0,17.0,15.0,2.0,38.0,11.0,12.0,17.0,18.0,21.0,9.0,21.001,7.0,14.0
ENSG00000196756,SNHG17,93.263,81.243,111.376,97.433,137.053,215.174,182.286,63.401,286.293,218.215,189.183,190.387,320.215,610.688,604.783,754.23,451.349,834.601
ENSG00000196757,ZNF700,245.748,223.211,193.982,257.533,308.027,439.172,187.127,126.0,298.713,224.153,217.003,232.66,218.548,429.843,397.059,403.257,268.549,580.637
ENSG00000196758,AC079612.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196767,POU3F4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000196772,OR14A16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196776,CD47,613.25,570.254,631.285,621.999,924.052,1322.834,477.999,317.445,675.468,932.746,853.367,866.981,317.403,697.021,627.017,885.0,593.59,1208.007
ENSG00000196778,OR52K1,9.0,7.0,6.005,10.0,27.0,10.0,7.0,7.0,10.999,9.0,17.0,6.0,8.0,11.0,19.0,6.0,8.0,12.0
ENSG00000196781,TLE1,63.0,77.0,56.0,81.0,128.063,150.083,89.0,56.065,466.013,119.0,125.0,142.0,117.0,220.999,198.0,92.0,59.0,94.0
ENSG00000196782,MAML3,351.335,397.035,212.042,450.38,630.068,550.506,198.96,213.919,320.343,235.0,241.975,258.989,160.639,296.301,294.758,485.946,299.929,678.529
ENSG00000196787,HIST1H2AG,117.542,139.07,74.213,127.395,170.153,221.812,76.593,73.739,114.231,115.723,112.414,124.042,90.611,194.101,185.38,328.807,221.442,310.526
ENSG00000196792,STRN3,1308.453,1394.494,1327.133,1346.854,1960.845,3026.956,1019.142,700.858,1831.01,1441.745,1413.331,1594.61,1248.53,2490.59,2441.459,2686.706,1635.059,2808.047
ENSG00000196793,ZNF239,133.021,126.999,122.001,96.007,157.001,224.001,106.0,52.659,176.0,129.999,119.0,156.0,171.001,363.534,366.029,278.0,189.999,377.0
ENSG00000196796,NPIPB10P,0.0,5.282,1.034,0.97,0.0,1.055,0.0,1.286,0.0,0.0,1.23,4.452,0.0,3.7,3.056,0.0,0.0,0.0
ENSG00000196800,SPINK14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196805,SPRR2B,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196810,CTBP1-DT,518.165,621.103,348.706,450.854,741.836,687.489,326.809,248.3,485.83,446.623,409.699,412.273,362.53,724.397,682.027,927.107,553.227,1130.261
ENSG00000196811,CHRNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836,4.402,0.0,0.0,0.0,0.0,1.0,2.0,1.367
ENSG00000196812,ZSCAN16,112.975,98.955,63.952,90.501,108.0,156.986,71.0,59.0,121.0,81.917,93.0,81.0,63.287,189.237,175.923,164.0,102.837,256.926
ENSG00000196814,MVB12B,683.001,793.093,520.106,640.002,998.04,1083.936,492.0,374.624,695.0,672.0,674.875,696.077,735.11,1345.0,1377.819,1719.567,987.244,2094.642
ENSG00000196821,C6orf106,3335.591,3456.073,3201.108,3270.276,4905.181,6995.379,2606.204,1631.91,3545.963,3005.76,2824.211,2974.679,2104.731,4175.439,3994.008,3823.775,2390.296,4416.592
ENSG00000196826,AC008758.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196832,OR11G2,13.832,17.465,9.774,24.984,11.776,21.407,7.415,8.223,10.502,10.303,8.918,4.739,15.33,35.196,27.609,20.284,11.133,19.272
ENSG00000196834,POTEI,17.0,12.0,40.824,65.473,136.973,92.6,66.101,35.355,31.002,5.0,7.0,4.0,35.524,61.155,59.602,75.601,43.858,145.171
ENSG00000196839,ADA,137.0,182.487,78.0,132.0,180.0,190.011,38.999,32.0,73.0,103.0,116.0,114.0,102.999,188.004,171.999,201.908,144.001,227.0
ENSG00000196843,ARID5A,82.0,93.001,85.0,74.0,105.029,298.836,117.0,27.0,137.0,349.001,442.001,377.012,50.121,98.001,106.998,203.942,147.0,192.0
ENSG00000196844,PATE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
ENSG00000196850,PPTC7,2078.417,2281.613,1900.013,2222.459,3141.799,3965.944,1566.68,987.623,2571.895,2169.0,2158.163,2206.287,1516.318,3150.907,3073.579,3312.407,1953.379,3633.765
ENSG00000196860,TOMM20L,6.093,1.0,0.0,2.0,14.0,6.752,0.0,1.0,0.0,3.0,0.0,3.003,0.0,22.621,1.173,13.042,7.903,10.168
ENSG00000196862,RGPD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196865,NHLRC2,1623.178,1947.244,1394.003,1623.542,2440.899,2710.249,1242.164,938.021,2146.949,1787.996,1790.686,1835.492,1288.169,2599.641,2473.425,3264.51,1943.232,3891.094
ENSG00000196866,HIST1H2AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276,0.0,0.0,0.0,0.0,0.0,0.0,2.897,0.0
ENSG00000196867,ZFP28,264.999,262.187,294.035,273.0,356.0,600.0,248.998,137.0,400.339,246.0,284.005,249.275,301.0,557.999,445.0,432.0,285.0,383.002
ENSG00000196872,KIAA1211L,0.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,3.0,0.0,6.0,4.0,9.0,0.0,2.0,3.0
ENSG00000196873,CBWD3,440.739,381.385,290.697,350.91,378.966,699.614,303.239,143.983,403.529,251.871,273.842,304.129,292.967,569.106,572.295,460.332,286.594,720.477
ENSG00000196876,SCN8A,119.0,171.0,64.007,101.0,166.001,159.0,88.683,60.0,101.0,62.0,76.0,105.0,94.571,207.693,192.002,171.0,74.001,286.0
