category,sample_id,group,paired_patient_id,cell_line,replicate,pathway_score,available_gene_count,requested_gene_count,available_genes
mtDNA-encoded OXPHOS genes,GSM9181270,control,3,FA3ic,2,-0.2426116428769364,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181271,control,3,FA3ic,3,1.8067587133534764,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181266,disease,3,FA3,1,-1.9180805751003038,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181267,disease,3,FA3,2,-0.05308092143528515,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
mtDNA-encoded OXPHOS genes,GSM9181268,disease,3,FA3,3,-0.15402296225522838,13,13,MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6;MT-CO1;MT-CO2;MT-CO3;MT-CYB;MT-ATP6;MT-ATP8
oxidative stress / ROS,GSM9181257,control,1,FA1ic,1,0.0721221735085521,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181258,control,1,FA1ic,2,0.8652735568518981,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181259,control,1,FA1ic,3,0.20898537970287065,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181254,disease,1,FA1,1,-0.3405474534247408,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181255,disease,1,FA1,2,0.09422357600999737,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181256,disease,1,FA1,3,-0.3107989200949164,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181263,control,2,FA2ic,1,-0.32507683983723057,4,4,SOD2;GPX1;CAT;PRDX3
oxidative stress / ROS,GSM9181264,control,2,FA2ic,2,-0.46893238430972717,4,4,SOD2;GPX1;CAT;PRDX3
