gene_id,gene_symbol,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,n_pairs,method,comparison,padj,abs_log2_fold_change
ENSG00000106392,C1GALT1,5.942171561200812,5.864113724406277,5.9031426428035445,0.07805783679453526,0.3155857043426336,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.07805783679453526
ENSG00000197265,GTF2E2,3.9660895506102456,4.10903641227023,4.037562981440238,-0.1429468616599845,0.3156392857303174,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.1429468616599845
ENSG00000168970,JMJD7-PLA2G4B,4.369275210016755,4.194525348215183,4.281900279115969,0.1747498618015717,0.3157906579335002,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.1747498618015717
ENSG00000272655,POLR2J4,2.6152182920967966,2.7814675147718586,2.698342903434328,-0.16624922267506204,0.3158185636070408,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.16624922267506204
ENSG00000170145,SIK2,6.013799456751662,5.8021026984678885,5.907951077609776,0.21169675828377343,0.3158209196012245,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.21169675828377343
ENSG00000215039,CD27-AS1,3.890881292841074,3.43267897186669,3.6617801323538823,0.45820232097438396,0.31585057080268353,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.45820232097438396
ENSG00000168899,VAMP5,3.005220176921633,2.764975183228375,2.885097680075004,0.24024499369325802,0.3158508867098027,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.24024499369325802
ENSG00000283812,GPR22,1.26322459877723,2.1689979097920573,1.7161112542846437,-0.9057733110148274,0.3159158457152066,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.9057733110148274
ENSG00000136490,LIMD2,4.2377758686594085,4.374216311205603,4.305996089932505,-0.1364404425461947,0.3159491086809537,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.1364404425461947
ENSG00000155729,KCTD18,3.705030635482375,3.950055283182831,3.8275429593326025,-0.24502464770045584,0.315999925708115,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6823330729296142,0.24502464770045584
